repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
vortexgpgpu/vortex,185,Merge tensor-core and devel branch into master,other,144,7507,5690,11140,25834,257,0,0,139,5,0,0,0,0,0,0,0,0,1,hw/rtl/afu/opae/vortex_afu.sv|hw/rtl/afu/xrt/VX_afu_wrap.sv|hw/syn/xilinx/sandbox/testbench.v|sim/opaesim/vortex_afu_shim.sv|sim/xrtsim/vortex_afu_shim.sv,hw/dpi/util_dpi.vh|hw/rtl/VX_cluster.sv|hw/rtl/VX_config.vh|hw/rtl/VX_define.vh|hw/rtl/VX_gpu_pkg.sv|hw/rtl/VX_platform.vh|hw/rtl/VX_scope.vh|hw/rtl/VX_socket.sv|hw/rtl/VX_types.vh|hw/rtl/Vortex.sv|hw/rtl/Vortex_axi.sv|hw/rtl/afu/opae/local_mem_cfg_pkg.sv|hw/rtl/afu/opae/vortex_afu.vh|hw/rtl/afu/xrt/VX_afu_ctrl.sv|hw/rtl/afu/xrt/vortex_afu.v|hw/rtl/afu/xrt/vortex_afu.vh|hw/rtl/cache/VX_bank_flush.sv|hw/rtl/cache/VX_cache.sv|hw/rtl/cache/VX_cache_bank.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_cluster.sv|hw/rtl/cache/VX_cache_data.sv|hw/rtl/cache/VX_cache_define.vh|hw/rtl/cache/VX_cache_flush.sv|hw/rtl/cache/VX_cache_mshr.sv|hw/rtl/cache/VX_cache_tags.sv|hw/rtl/cache/VX_cache_top.sv|hw/rtl/cache/VX_cache_wrap.sv|hw/rtl/core/VX_alu_int.sv|hw/rtl/core/VX_alu_muldiv.sv|hw/rtl/core/VX_alu_unit.sv|hw/rtl/core/VX_commit.sv|hw/rtl/core/VX_core.sv|hw/rtl/core/VX_core_top.sv|hw/rtl/core/VX_csr_data.sv|hw/rtl/core/VX_csr_unit.sv|hw/rtl/core/VX_dcr_data.sv|hw/rtl/core/VX_decode.sv|hw/rtl/core/VX_dispatch.sv|hw/rtl/core/VX_dispatch_unit.sv|hw/rtl/core/VX_execute.sv|hw/rtl/core/VX_fetch.sv|hw/rtl/core/VX_fpu_unit.sv|hw/rtl/core/VX_gather_unit.sv|hw/rtl/core/VX_ibuffer.sv|hw/rtl/core/VX_ipdom_stack.sv|hw/rtl/core/VX_issue.sv|hw/rtl/core/VX_issue_slice.sv|hw/rtl/core/VX_issue_top.sv|hw/rtl/core/VX_lmem_unit.sv|hw/rtl/core/VX_lsu_slice.sv|hw/rtl/core/VX_lsu_unit.sv|hw/rtl/core/VX_mem_unit.sv|hw/rtl/core/VX_mem_unit_top.sv|hw/rtl/core/VX_operands.sv|hw/rtl/core/VX_pe_switch.sv|hw/rtl/core/VX_schedule.sv|hw/rtl/core/VX_scoreboard.sv|hw/rtl/core/VX_sfu_unit.sv|hw/rtl/core/VX_split_join.sv|hw/rtl/core/VX_trace_pkg.sv|hw/rtl/core/VX_uuid_gen.sv|hw/rtl/core/VX_wctl_unit.sv|hw/rtl/fpu/VX_fcvt_unit.sv|hw/rtl/fpu/VX_fncp_unit.sv|hw/rtl/fpu/VX_fpu_cvt.sv|hw/rtl/fpu/VX_fpu_div.sv|hw/rtl/fpu/VX_fpu_dpi.sv|hw/rtl/fpu/VX_fpu_dsp.sv|hw/rtl/fpu/VX_fpu_fma.sv|hw/rtl/fpu/VX_fpu_fpnew.sv|hw/rtl/fpu/VX_fpu_ncp.sv|hw/rtl/fpu/VX_fpu_sqrt.sv|hw/rtl/interfaces/VX_decode_sched_if.sv|hw/rtl/libs/VX_avs_adapter.sv|hw/rtl/libs/VX_axi_adapter.sv|hw/rtl/libs/VX_axi_write_ack.sv|hw/rtl/libs/VX_bits_insert.sv|hw/rtl/libs/VX_bits_remove.sv|hw/rtl/libs/VX_bypass_buffer.sv|hw/rtl/libs/VX_cyclic_arbiter.sv|hw/rtl/libs/VX_decoder.sv|hw/rtl/libs/VX_divider.sv|hw/rtl/libs/VX_dp_ram.sv|hw/rtl/libs/VX_edge_trigger.sv|hw/rtl/libs/VX_elastic_buffer.sv|hw/rtl/libs/VX_encoder.sv|hw/rtl/libs/VX_fair_arbiter.sv|hw/rtl/libs/VX_fifo_queue.sv|hw/rtl/libs/VX_find_first.sv|hw/rtl/libs/VX_generic_arbiter.sv|hw/rtl/libs/VX_index_queue.sv|hw/rtl/libs/VX_lzc.sv|hw/rtl/libs/VX_matrix_arbiter.sv|hw/rtl/libs/VX_mem_adapter.sv|hw/rtl/libs/VX_mem_coalescer.sv|hw/rtl/libs/VX_mem_scheduler.sv|hw/rtl/libs/VX_multiplier.sv|hw/rtl/libs/VX_mux.sv|hw/rtl/libs/VX_onehot_mux.sv|hw/rtl/libs/VX_onehot_shift.sv|hw/rtl/libs/VX_pe_serializer.sv|hw/rtl/libs/VX_pending_size.sv|hw/rtl/libs/VX_pipe_buffer.sv|hw/rtl/libs/VX_pipe_register.sv|hw/rtl/libs/VX_popcount.sv|hw/rtl/libs/VX_priority_arbiter.sv|hw/rtl/libs/VX_priority_encoder.sv|hw/rtl/libs/VX_reduce.sv|hw/rtl/libs/VX_reset_relay.sv|hw/rtl/libs/VX_rr_arbiter.sv|hw/rtl/libs/VX_scan.sv|hw/rtl/libs/VX_scope_switch.sv|hw/rtl/libs/VX_scope_tap.sv|hw/rtl/libs/VX_serial_div.sv|hw/rtl/libs/VX_serial_mul.sv|hw/rtl/libs/VX_shift_register.sv|hw/rtl/libs/VX_skid_buffer.sv|hw/rtl/libs/VX_sp_ram.sv|hw/rtl/libs/VX_stream_arb.sv|hw/rtl/libs/VX_stream_buffer.sv|hw/rtl/libs/VX_stream_pack.sv|hw/rtl/libs/VX_stream_switch.sv|hw/rtl/libs/VX_stream_unpack.sv|hw/rtl/libs/VX_stream_xbar.sv|hw/rtl/libs/VX_toggle_buffer.sv|hw/rtl/libs/VX_transpose.sv|hw/rtl/mem/VX_gbar_arb.sv|hw/rtl/mem/VX_gbar_unit.sv|hw/rtl/mem/VX_lmem_switch.sv|hw/rtl/mem/VX_local_mem.sv|hw/rtl/mem/VX_local_mem_top.sv|hw/rtl/mem/VX_lsu_adapter.sv|hw/rtl/mem/VX_lsu_mem_if.sv|hw/rtl/mem/VX_mem_arb.sv|hw/rtl/mem/VX_mem_bus_if.sv|hw/rtl/mem/VX_mem_switch.sv|hw/syn/xilinx/sandbox/Vortex_top.v|hw/syn/xilinx/sandbox/Vortex_wrap.sv
olofk/serv,18,Declare variables/nets before referenced,other,2,9,10,9,10,1,0,1,2,0,0,0,0,0,0,0,0,0,0,,rtl/serv_alu.v|rtl/serv_decode.v
olofk/serv,16,Add Arty a7 35t support,feature-addition,2,7,2,45,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,,servant/servix.v|servant/servix_clock_gen.v
vortexgpgpu/vortex,187,"Revert ""Initial HBM changes for RTL""",other,5,0,1557,3,2216,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,hw/rtl/Vortex_hbm.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_bypass_l3.sv|hw/rtl/cache/VX_cache_l3.sv|hw/rtl/cache/VX_cache_wrap_l3.sv
olofk/serv,10,Suppressing some verilator lint warnings,other,2,4,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,servant/servant_mux.v,servant/servant.v
vortexgpgpu/vortex,181,Initial HBM changes for RTL,other,5,1557,0,2216,3,7,0,0,5,0,0,0,0,0,0,0,0,0,0,,hw/rtl/Vortex_hbm.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_bypass_l3.sv|hw/rtl/cache/VX_cache_l3.sv|hw/rtl/cache/VX_cache_wrap_l3.sv
olofk/serv,7,rtl: Improve compatibility with Synopsys Design Compiler,other,3,8,7,8,7,1,0,1,3,0,0,0,0,0,0,0,0,0,0,,rtl/serv_mpram.v|rtl/serv_top.v|rtl/shift_reg.v
olofk/serv,4,Update serv_top.v,other,1,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,rtl/serv_top.v
vortexgpgpu/vortex,184,Develop,other,6,58,30,58,30,6,0,0,6,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_define.vh|hw/rtl/core/VX_issue_slice.sv|hw/rtl/core/VX_lsu_slice.sv|hw/rtl/libs/VX_elastic_buffer.sv|hw/rtl/libs/VX_mem_scheduler.sv|hw/rtl/libs/VX_stream_buffer.sv
XUANTIE-RV/openc910,11,Support the Verilator simulation,feature-addition,2,447,10,731,31,2,0,0,1,1,0,0,0,0,0,0,0,0,1,smart_run/logical/tb/tb_verilator.v,C910_RTL_FACTORY/gen_rtl/ciu/rtl/ct_ciu_snb_sab_entry.v
vortexgpgpu/vortex,178,Vortex Virtual Memory Support,other,4,824,4,31161,129,76,0,0,4,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh|hw/rtl/core/VX_gpr_slice.sv|hw/rtl/core/VX_pending_instr.sv|hw/rtl/core/VX_trace.vh
The-OpenROAD-Project/OpenLane,1867,Move CI designs to a separate repository ,bug-fix,37,0,25078,83,51457,25,0,0,30,7,0,0,0,0,0,0,0,0,1,designs/APU/src/APU.v|designs/BM64/src/BM64.v|designs/PPU/src/PPU.v|designs/picorv32a/src/picorv32a.v|designs/test_sram_macro/sky130_sram_1kbyte_1rw1r_32x256_8.bb.v|designs/test_sram_macro/src/test_sram_macro.v|designs/wbqspiflash/src/wbqspiflash.v,designs/aes/src/aes.v|designs/aes_core/src/aes.v|designs/aes_core/src/aes_core.v|designs/blabla/src/blabla.v|designs/caravel_upw/src/defines.v|designs/caravel_upw/src/user_proj_example.v|designs/caravel_upw/src/user_proj_example2.v|designs/caravel_upw/src/user_project_wrapper.v|designs/gcd/gcd.v|designs/inverter/src/inverter.v|designs/io_placer/src/defines.v|designs/io_placer/src/user_proj_example.v|designs/io_placer/src/user_proj_example2.v|designs/io_placer/src/user_project_wrapper.v|designs/manual_macro_placement_test/src/design.v|designs/mem_1r1w/src/mem_1r1w.v|designs/regfile_2r1w/bb/mem_1r1w.bb.v|designs/regfile_2r1w/src/regfile_2r1w.v|designs/s44/src/lut.v|designs/s44/src/lut_s44.v|designs/salsa20/src/salsa20.v|designs/usb/src/usb2p0_core.v|designs/usb_cdc_core/src/usb_cdc_core.v|designs/usb_cdc_core/src/usb_desc_rom.v|designs/usb_cdc_core/src/usbf_crc16.v|designs/usb_cdc_core/src/usbf_defs.v|designs/usb_cdc_core/src/usbf_device_core.v|designs/usb_cdc_core/src/usbf_sie_rx.v|designs/usb_cdc_core/src/usbf_sie_tx.v|designs/xtea/src/xtea.v
lowRISC/opentitan,29346,Rename flash to nvm outside flash_controller,other,60,410,430,1345,1345,3,4,5,43,17,0,0,0,0,0,0,0,0,1,hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_base_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_errors_vseq.sv|hw/ip/lc_ctrl/dv/tb.sv|hw/ip_templates/flash_ctrl/dv/env/flash_ctrl_if.sv|hw/ip_templates/flash_ctrl/dv/env/seq_lib/flash_ctrl_base_vseq.sv|hw/ip_templates/flash_ctrl/dv/tb/tb.sv|hw/ip_templates/pwrmgr/dv/env/pwrmgr_if.sv|hw/top_darjeeling/ip_autogen/otp_ctrl/dv/env/seq_lib/otp_ctrl_parallel_key_req_vseq.sv|hw/top_darjeeling/ip_autogen/pwrmgr/dv/env/pwrmgr_if.sv|hw/top_darjeeling/ip_autogen/pwrmgr/dv/env/seq_lib/pwrmgr_base_vseq.sv|hw/top_darjeeling/ip_autogen/pwrmgr/dv/tb.sv|hw/top_earlgrey/dv/env/seq_lib/chip_sw_flash_init_vseq.sv|hw/top_earlgrey/dv/env/seq_lib/chip_sw_inject_scramble_seed_vseq.sv|hw/top_earlgrey/ip_autogen/flash_ctrl/dv/env/flash_ctrl_if.sv|hw/top_earlgrey/ip_autogen/flash_ctrl/dv/env/seq_lib/flash_ctrl_base_vseq.sv|hw/top_earlgrey/ip_autogen/flash_ctrl/dv/tb/tb.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_scoreboard.sv,hw/ip/lc_ctrl/dv/cov/lc_ctrl_cov_bind.sv|hw/ip/lc_ctrl/dv/cov/lc_ctrl_fsm_cov_if.sv|hw/ip/lc_ctrl/dv/env/lc_ctrl_env_cov.sv|hw/ip/lc_ctrl/dv/env/lc_ctrl_env_pkg.sv|hw/ip/lc_ctrl/dv/env/lc_ctrl_if.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_claim_transition_if_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_common_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_lc_errors_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_sec_mubi_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_sec_token_digest_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_smoke_vseq.sv|hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_volatile_unlock_smoke_vseq.sv|hw/ip/lc_ctrl/rtl/lc_ctrl.sv|hw/ip/lc_ctrl/rtl/lc_ctrl_fsm.sv|hw/ip/lc_ctrl/rtl/lc_ctrl_pkg.sv|hw/ip/lc_ctrl/rtl/lc_ctrl_reg_pkg.sv|hw/ip/lc_ctrl/rtl/lc_ctrl_regs_reg_top.sv|hw/ip/lc_ctrl/rtl/lc_ctrl_signal_decode.sv|hw/ip/otp_ctrl/rtl/otp_ctrl_pkg.sv|hw/ip_templates/flash_ctrl/dv/env/flash_ctrl_env_pkg.sv|hw/ip_templates/flash_ctrl/rtl/flash_ctrl_lcmgr.sv|hw/ip_templates/pwrmgr/dv/env/seq_lib/pwrmgr_aborted_low_power_vseq.sv|hw/top_darjeeling/dv/env/chip_env_pkg.sv|hw/top_darjeeling/ip_autogen/otp_ctrl/rtl/otp_ctrl.sv|hw/top_darjeeling/ip_autogen/pwrmgr/dv/env/seq_lib/pwrmgr_aborted_low_power_vseq.sv|hw/top_darjeeling/ip_autogen/pwrmgr/rtl/pwrmgr.sv|hw/top_darjeeling/ip_autogen/pwrmgr/rtl/pwrmgr_cdc.sv|hw/top_darjeeling/ip_autogen/pwrmgr/rtl/pwrmgr_fsm.sv|hw/top_darjeeling/ip_autogen/pwrmgr/rtl/pwrmgr_pkg.sv|hw/top_darjeeling/rtl/autogen/top_darjeeling.sv|hw/top_earlgrey/dv/env/chip_env_pkg.sv|hw/top_earlgrey/ip_autogen/flash_ctrl/dv/env/flash_ctrl_env_pkg.sv|hw/top_earlgrey/ip_autogen/flash_ctrl/rtl/flash_ctrl.sv|hw/top_earlgrey/ip_autogen/flash_ctrl/rtl/flash_ctrl_lcmgr.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/cov/otp_ctrl_cov_bind.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/cov/otp_ctrl_cov_if.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_cfg.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_cov.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_pkg.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_if.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_mem_bkdr_util_pkg.sv|hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_virtual_sequencer.sv
