repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
vortexgpgpu/vortex,185,Merge tensor-core and devel branch into master,other,144,7507,5690,,,,,,139,5,0,0,0,0,0,0,0,0,1,hw/rtl/afu/opae/vortex_afu.sv|hw/rtl/afu/xrt/VX_afu_wrap.sv|hw/syn/xilinx/sandbox/testbench.v|sim/opaesim/vortex_afu_shim.sv|sim/xrtsim/vortex_afu_shim.sv,hw/dpi/util_dpi.vh|hw/rtl/VX_cluster.sv|hw/rtl/VX_config.vh|hw/rtl/VX_define.vh|hw/rtl/VX_gpu_pkg.sv|hw/rtl/VX_platform.vh|hw/rtl/VX_scope.vh|hw/rtl/VX_socket.sv|hw/rtl/VX_types.vh|hw/rtl/Vortex.sv|hw/rtl/Vortex_axi.sv|hw/rtl/afu/opae/local_mem_cfg_pkg.sv|hw/rtl/afu/opae/vortex_afu.vh|hw/rtl/afu/xrt/VX_afu_ctrl.sv|hw/rtl/afu/xrt/vortex_afu.v|hw/rtl/afu/xrt/vortex_afu.vh|hw/rtl/cache/VX_bank_flush.sv|hw/rtl/cache/VX_cache.sv|hw/rtl/cache/VX_cache_bank.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_cluster.sv|hw/rtl/cache/VX_cache_data.sv|hw/rtl/cache/VX_cache_define.vh|hw/rtl/cache/VX_cache_flush.sv|hw/rtl/cache/VX_cache_mshr.sv|hw/rtl/cache/VX_cache_tags.sv|hw/rtl/cache/VX_cache_top.sv|hw/rtl/cache/VX_cache_wrap.sv|hw/rtl/core/VX_alu_int.sv|hw/rtl/core/VX_alu_muldiv.sv|hw/rtl/core/VX_alu_unit.sv|hw/rtl/core/VX_commit.sv|hw/rtl/core/VX_core.sv|hw/rtl/core/VX_core_top.sv|hw/rtl/core/VX_csr_data.sv|hw/rtl/core/VX_csr_unit.sv|hw/rtl/core/VX_dcr_data.sv|hw/rtl/core/VX_decode.sv|hw/rtl/core/VX_dispatch.sv|hw/rtl/core/VX_dispatch_unit.sv|hw/rtl/core/VX_execute.sv|hw/rtl/core/VX_fetch.sv|hw/rtl/core/VX_fpu_unit.sv|hw/rtl/core/VX_gather_unit.sv|hw/rtl/core/VX_ibuffer.sv|hw/rtl/core/VX_ipdom_stack.sv|hw/rtl/core/VX_issue.sv|hw/rtl/core/VX_issue_slice.sv|hw/rtl/core/VX_issue_top.sv|hw/rtl/core/VX_lmem_unit.sv|hw/rtl/core/VX_lsu_slice.sv|hw/rtl/core/VX_lsu_unit.sv|hw/rtl/core/VX_mem_unit.sv|hw/rtl/core/VX_mem_unit_top.sv|hw/rtl/core/VX_operands.sv|hw/rtl/core/VX_pe_switch.sv|hw/rtl/core/VX_schedule.sv|hw/rtl/core/VX_scoreboard.sv|hw/rtl/core/VX_sfu_unit.sv|hw/rtl/core/VX_split_join.sv|hw/rtl/core/VX_trace_pkg.sv|hw/rtl/core/VX_uuid_gen.sv|hw/rtl/core/VX_wctl_unit.sv|hw/rtl/fpu/VX_fcvt_unit.sv|hw/rtl/fpu/VX_fncp_unit.sv|hw/rtl/fpu/VX_fpu_cvt.sv|hw/rtl/fpu/VX_fpu_div.sv|hw/rtl/fpu/VX_fpu_dpi.sv|hw/rtl/fpu/VX_fpu_dsp.sv|hw/rtl/fpu/VX_fpu_fma.sv|hw/rtl/fpu/VX_fpu_fpnew.sv|hw/rtl/fpu/VX_fpu_ncp.sv|hw/rtl/fpu/VX_fpu_sqrt.sv|hw/rtl/interfaces/VX_decode_sched_if.sv|hw/rtl/libs/VX_avs_adapter.sv|hw/rtl/libs/VX_axi_adapter.sv|hw/rtl/libs/VX_axi_write_ack.sv|hw/rtl/libs/VX_bits_insert.sv|hw/rtl/libs/VX_bits_remove.sv|hw/rtl/libs/VX_bypass_buffer.sv|hw/rtl/libs/VX_cyclic_arbiter.sv|hw/rtl/libs/VX_decoder.sv|hw/rtl/libs/VX_divider.sv|hw/rtl/libs/VX_dp_ram.sv|hw/rtl/libs/VX_edge_trigger.sv|hw/rtl/libs/VX_elastic_buffer.sv|hw/rtl/libs/VX_encoder.sv|hw/rtl/libs/VX_fair_arbiter.sv|hw/rtl/libs/VX_fifo_queue.sv|hw/rtl/libs/VX_find_first.sv|hw/rtl/libs/VX_generic_arbiter.sv|hw/rtl/libs/VX_index_queue.sv|hw/rtl/libs/VX_lzc.sv|hw/rtl/libs/VX_matrix_arbiter.sv|hw/rtl/libs/VX_mem_adapter.sv|hw/rtl/libs/VX_mem_coalescer.sv|hw/rtl/libs/VX_mem_scheduler.sv|hw/rtl/libs/VX_multiplier.sv|hw/rtl/libs/VX_mux.sv|hw/rtl/libs/VX_onehot_mux.sv|hw/rtl/libs/VX_onehot_shift.sv|hw/rtl/libs/VX_pe_serializer.sv|hw/rtl/libs/VX_pending_size.sv|hw/rtl/libs/VX_pipe_buffer.sv|hw/rtl/libs/VX_pipe_register.sv|hw/rtl/libs/VX_popcount.sv|hw/rtl/libs/VX_priority_arbiter.sv|hw/rtl/libs/VX_priority_encoder.sv|hw/rtl/libs/VX_reduce.sv|hw/rtl/libs/VX_reset_relay.sv|hw/rtl/libs/VX_rr_arbiter.sv|hw/rtl/libs/VX_scan.sv|hw/rtl/libs/VX_scope_switch.sv|hw/rtl/libs/VX_scope_tap.sv|hw/rtl/libs/VX_serial_div.sv|hw/rtl/libs/VX_serial_mul.sv|hw/rtl/libs/VX_shift_register.sv|hw/rtl/libs/VX_skid_buffer.sv|hw/rtl/libs/VX_sp_ram.sv|hw/rtl/libs/VX_stream_arb.sv|hw/rtl/libs/VX_stream_buffer.sv|hw/rtl/libs/VX_stream_pack.sv|hw/rtl/libs/VX_stream_switch.sv|hw/rtl/libs/VX_stream_unpack.sv|hw/rtl/libs/VX_stream_xbar.sv|hw/rtl/libs/VX_toggle_buffer.sv|hw/rtl/libs/VX_transpose.sv|hw/rtl/mem/VX_gbar_arb.sv|hw/rtl/mem/VX_gbar_unit.sv|hw/rtl/mem/VX_lmem_switch.sv|hw/rtl/mem/VX_local_mem.sv|hw/rtl/mem/VX_local_mem_top.sv|hw/rtl/mem/VX_lsu_adapter.sv|hw/rtl/mem/VX_lsu_mem_if.sv|hw/rtl/mem/VX_mem_arb.sv|hw/rtl/mem/VX_mem_bus_if.sv|hw/rtl/mem/VX_mem_switch.sv|hw/syn/xilinx/sandbox/Vortex_top.v|hw/syn/xilinx/sandbox/Vortex_wrap.sv
vortexgpgpu/vortex,187,"Revert ""Initial HBM changes for RTL""",other,5,0,1557,,,,,,5,0,0,0,0,0,0,0,0,0,0,,hw/rtl/Vortex_hbm.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_bypass_l3.sv|hw/rtl/cache/VX_cache_l3.sv|hw/rtl/cache/VX_cache_wrap_l3.sv
vortexgpgpu/vortex,181,Initial HBM changes for RTL,other,5,1557,0,,,,,,5,0,0,0,0,0,0,0,0,0,0,,hw/rtl/Vortex_hbm.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_bypass_l3.sv|hw/rtl/cache/VX_cache_l3.sv|hw/rtl/cache/VX_cache_wrap_l3.sv
vortexgpgpu/vortex,184,Develop,other,6,58,30,,,,,,6,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_define.vh|hw/rtl/core/VX_issue_slice.sv|hw/rtl/core/VX_lsu_slice.sv|hw/rtl/libs/VX_elastic_buffer.sv|hw/rtl/libs/VX_mem_scheduler.sv|hw/rtl/libs/VX_stream_buffer.sv
vortexgpgpu/vortex,178,Vortex Virtual Memory Support,other,4,824,4,,,,,,4,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh|hw/rtl/core/VX_gpr_slice.sv|hw/rtl/core/VX_pending_instr.sv|hw/rtl/core/VX_trace.vh
vortexgpgpu/vortex,176,"Rebase, fix bugs and config ci",bug-fix,84,3992,2559,,,,,,81,3,0,0,0,0,0,0,0,0,1,hw/rtl/afu/opae/vortex_afu.sv|hw/rtl/afu/xrt/VX_afu_wrap.sv|sim/xrtsim/vortex_afu_shim.sv,hw/dpi/float_dpi.vh|hw/dpi/util_dpi.vh|hw/rtl/VX_cluster.sv|hw/rtl/VX_config.vh|hw/rtl/VX_define.vh|hw/rtl/VX_gpu_pkg.sv|hw/rtl/VX_platform.vh|hw/rtl/VX_socket.sv|hw/rtl/VX_types.vh|hw/rtl/Vortex.sv|hw/rtl/afu/opae/ccip_std_afu.sv|hw/rtl/cache/VX_bank_flush.sv|hw/rtl/cache/VX_cache.sv|hw/rtl/cache/VX_cache_bank.sv|hw/rtl/cache/VX_cache_bypass.sv|hw/rtl/cache/VX_cache_cluster.sv|hw/rtl/cache/VX_cache_data.sv|hw/rtl/cache/VX_cache_define.vh|hw/rtl/cache/VX_cache_flush.sv|hw/rtl/cache/VX_cache_init.sv|hw/rtl/cache/VX_cache_mshr.sv|hw/rtl/cache/VX_cache_tags.sv|hw/rtl/cache/VX_cache_wrap.sv|hw/rtl/core/VX_alu_int.sv|hw/rtl/core/VX_alu_muldiv.sv|hw/rtl/core/VX_alu_unit.sv|hw/rtl/core/VX_commit.sv|hw/rtl/core/VX_core.sv|hw/rtl/core/VX_core_top.sv|hw/rtl/core/VX_csr_data.sv|hw/rtl/core/VX_csr_unit.sv|hw/rtl/core/VX_dcr_data.sv|hw/rtl/core/VX_decode.sv|hw/rtl/core/VX_dispatch.sv|hw/rtl/core/VX_execute.sv|hw/rtl/core/VX_fetch.sv|hw/rtl/core/VX_fpu_unit.sv|hw/rtl/core/VX_ibuffer.sv|hw/rtl/core/VX_issue.sv|hw/rtl/core/VX_issue_slice.sv|hw/rtl/core/VX_issue_top.sv|hw/rtl/core/VX_lmem_unit.sv|hw/rtl/core/VX_lsu_adapter.sv|hw/rtl/core/VX_lsu_slice.sv|hw/rtl/core/VX_lsu_unit.sv|hw/rtl/core/VX_operands.sv|hw/rtl/core/VX_schedule.sv|hw/rtl/core/VX_scoreboard.sv|hw/rtl/core/VX_sfu_unit.sv|hw/rtl/core/VX_split_join.sv|hw/rtl/core/VX_trace_pkg.sv|hw/rtl/core/VX_wctl_unit.sv|hw/rtl/fpu/VX_fpu_dpi.sv|hw/rtl/fpu/VX_fpu_dsp.sv|hw/rtl/fpu/VX_fpu_fma.sv|hw/rtl/fpu/VX_fpu_fpnew.sv|hw/rtl/interfaces/VX_commit_sched_if.sv|hw/rtl/interfaces/VX_decode_if.sv|hw/rtl/interfaces/VX_pipeline_perf_if.sv|hw/rtl/libs/VX_avs_adapter.sv|hw/rtl/libs/VX_cyclic_arbiter.sv|hw/rtl/libs/VX_dp_ram.sv|hw/rtl/libs/VX_dp_ram_rst.sv|hw/rtl/libs/VX_elastic_buffer.sv|hw/rtl/libs/VX_fair_arbiter.sv|hw/rtl/libs/VX_fifo_queue.sv|hw/rtl/libs/VX_generic_arbiter.sv|hw/rtl/libs/VX_matrix_arbiter.sv|hw/rtl/libs/VX_mem_coalescer.sv|hw/rtl/libs/VX_mem_scheduler.sv|hw/rtl/libs/VX_onehot_mux.sv|hw/rtl/libs/VX_pe_serializer.sv|hw/rtl/libs/VX_pending_size.sv|hw/rtl/libs/VX_priority_arbiter.sv|hw/rtl/libs/VX_rr_arbiter.sv|hw/rtl/libs/VX_sp_ram.sv|hw/rtl/libs/VX_stream_arb.sv|hw/rtl/libs/VX_stream_pack.sv|hw/rtl/libs/VX_stream_xbar.sv|hw/rtl/mem/VX_local_mem.sv|hw/rtl/mem/VX_mem_switch.sv
vortexgpgpu/vortex,169,simx HBM initial implementation,other,2,14,1,,,,,,2,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh|hw/rtl/VX_types.vh
vortexgpgpu/vortex,88,minor update,other,2,6,2,,,,,,2,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_gpu_pkg.sv|hw/rtl/core/VX_trace.vh
vortexgpgpu/vortex,66,Merge latest changes of simx vector extension,other,1,5,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh
vortexgpgpu/vortex,68,vm changes,other,1,16,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,hw/rtl/VX_config.vh
